,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 당일변동율,kospi 야간변동율,ks200 당일변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VKOSPI_Label
2023-01-25,1.27,1.52,-0.08,0.066,0.045,0.63,1.308,0.56,1.657,-0.27,0.277,0.9,7.333,14.536,43418.0,72886.0,-0.07,0.38,0.033,-3.08,-3.469,0.0
2023-01-26,1.79,1.38,0.13,0.066,0.044,1.39,0.313,1.64,0.33,-0.18,1.497,1.21,-41.201,-21.111,-261837.0,-121238.0,-0.02,0.841,0.032,-0.63,-2.454,0.0
2023-01-27,1.08,1.37,-0.09,0.066,0.031,1.65,0.238,1.5,0.2,1.76,0.471,0.94,74.129,35.721,277000.0,161833.0,1.1,0.603,0.034,-1.83,-1.68,1.0
2023-01-30,0.77,1.34,-0.17,0.072,0.161,0.62,0.025,0.74,0.034,0.95,1.319,0.67,58.84,12.615,382859.0,77568.0,0.25,0.415,0.047,-1.17,-2.063,0.0
2023-01-31,1.18,1.22,-0.01,0.055,0.041,-1.35,-0.022,-1.62,0.012,-1.96,-1.03,0.78,-1.05,15.918,-10853.0,110222.0,-1.3,-0.778,0.034,7.73,0.911,1.0
2023-02-01,1.39,1.17,0.07,0.044,0.045,-1.04,0.864,-1.68,1.034,1.67,1.632,0.82,7.08,11.61,72403.0,93189.0,1.46,1.387,0.034,-2.71,-3.579,0.0
2023-02-02,1.66,1.14,0.16,0.017,0.007,1.02,1.312,1.24,1.479,2.0,2.101,0.9,-22.329,-14.476,-244526.0,-129684.0,1.05,1.207,-0.002,-7.89,-8.919,1.0
2023-02-03,1.17,1.1,0.02,0.088,0.046,0.78,-0.095,0.85,-0.108,3.25,1.124,0.91,51.568,53.374,438618.0,408936.0,1.47,0.507,0.033,4.81,5.581,1.0
2023-02-06,0.19,1.06,-0.27,0.011,-0.653,0.47,-0.749,0.6,-0.908,-1.59,0.503,0.8,26.816,10.987,345706.0,129110.0,-1.04,-0.005,-0.009,-2.14,-1.292,1.0
2023-02-07,-0.03,0.94,-0.3,0.146,0.122,-1.7,0.08,-2.16,0.166,-1.0,-0.142,0.77,26.492,22.285,433106.0,290646.0,-0.61,-0.206,0.097,6.0,1.04,0.0
2023-02-08,0.75,0.91,-0.05,0.032,0.016,0.55,0.722,0.54,0.849,1.9,1.871,0.91,-15.696,-0.681,-324584.0,-10862.0,1.29,1.429,0.01,-3.96,-4.504,1.0
2023-02-09,0.72,0.9,-0.06,0.059,0.045,1.3,-0.523,1.58,-0.59,-1.68,-1.314,0.87,1.356,-3.48,23637.0,-55117.0,-1.11,-0.857,0.033,5.2,3.972,1.0
