,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,KOPSI 전날변동율,KOSPI 야간변동율,KS200 전날변동율,KS200 야간변동율,NAS 야간변동율,NAS 당일변동율,NAS 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,S&P 야간변동율,S&P 당일변동율,S&P 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,KOSPI 오전변동율,KOSPI 오전변화량,KS200 오전변동율,KS200 오전변화량,VKOSPI_Label
2023-09-05,-0.27,0.34,-0.18,0.066,0.088,0.81,-0.218,0.81,-0.255,-0.02,-0.695,167.2,1.09,-11.021,-11.839,-92691.0,-109065.0,0.18,-0.327,39.9,0.091,5.58,1.468,0.31,-0.18,-0.059,0.59,0.272,-0.01,-0.181,10.69,-0.244,1.96,0.0
2023-09-06,0.21,0.31,-0.03,0.077,0.064,-0.09,-0.185,-0.21,-0.185,-0.08,0.189,115.2,0.96,-9.553,-20.144,-71486.0,-163608.0,-0.42,-0.293,18.28,0.068,1.37,-0.989,0.77,1.66,-2.057,0.49,0.271,-0.01,-0.088,8.73,-0.118,1.19,0.0
2023-09-07,-0.05,0.27,-0.09,0.088,0.079,-0.73,-0.33,-0.72,-0.272,-1.06,-0.832,199.53,1.07,5.622,18.336,38054.0,118928.0,-0.7,-0.554,47.97,0.071,3.14,1.261,1.17,2.45,-2.876,1.37,0.27,-0.01,-0.214,15.22,-0.074,1.84,1.0
2023-09-08,-0.44,0.24,-0.2,0.11,0.103,-0.59,-0.086,-0.33,-0.134,-0.89,0.539,132.16,0.91,15.031,-2.269,107451.0,-17418.0,-0.32,0.374,27.35,0.1,-0.35,-2.768,1.29,-2.39,-5.252,1.15,0.27,-0.01,0.007,14.18,0.009,1.85,1.0
2023-09-11,0.35,0.21,0.04,0.116,0.657,-0.02,0.086,-0.1,0.036,0.09,0.05,110.19,0.98,31.97,41.154,262900.0,308696.0,0.14,0.139,25.15,0.103,-3.89,-2.672,1.29,4.38,-0.501,1.67,0.0,0.0,-0.186,14.16,-0.14,1.96,0.0
2023-09-12,0.47,0.1,0.11,0.061,0.074,0.36,0.373,0.35,0.275,1.14,0.244,132.33,0.98,0.945,1.444,10255.0,15288.0,0.67,0.145,22.88,0.042,-0.29,-2.611,0.59,-3.63,0.937,0.77,0.0,0.0,-0.286,20.88,-0.21,2.15,0.0
2023-09-13,0.21,0.07,0.04,0.055,0.07,-0.79,-0.014,-0.6,0.086,-1.04,-0.616,149.91,0.88,46.43,31.33,508632.0,336505.0,-0.57,-0.254,30.28,0.043,3.12,1.498,0.71,-1.97,3.175,0.37,0.269,-0.01,0.15,14.07,0.009,1.78,1.0
2023-09-14,0.11,0.03,0.02,0.132,0.109,-0.07,0.402,0.13,0.402,0.29,0.29,134.75,0.92,4.785,9.733,76753.0,137289.0,0.12,0.107,25.87,0.121,-5.27,-6.519,1.27,-3.96,0.433,0.56,0.536,-0.02,0.025,7.86,0.047,1.32,1.0
2023-09-15,-0.89,0.03,0.02,0.049,0.034,1.51,0.081,1.55,0.108,0.81,0.261,146.91,1.1,-2.324,16.478,-39059.0,255066.0,0.84,0.386,33.3,0.038,-4.9,-4.257,0.67,1.54,2.679,0.52,0.267,-0.01,0.378,20.34,0.362,2.73,0.0
2023-09-18,1.92,2.38,-0.13,0.071,0.15,1.1,-0.484,1.11,-0.58,-1.56,-1.302,211.51,1.2,-56.424,-52.5,-926376.0,-946547.0,-1.22,-1.06,50.77,0.072,7.57,8.583,1.49,1.54,2.679,0.52,0.532,-0.02,-0.022,11.88,-0.061,2.06,0.0
