현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
+245228,39425,20231011100000,+244772,+245367,+244417,,,,
+244841,42118,20231011093000,+244800,+245273,+244797,,,,
+244909,109625,20231011090000,+243652,+244920,+243652,,,,
-240258,16975,20231010153000,+240389,+240389,+240248,,,,
-240389,24414,20231010150000,+240641,+240793,+240293,,,,
-240539,25283,20231010143000,+240276,+241281,+240251,,,,
-240277,33197,20231010140000,+241331,+241370,+240244,,,,
+241327,22262,20231010133000,+241427,+241613,+241177,,,,
+241339,25925,20231010130000,+241840,+241840,+240905,,,,
+241717,20623,20231010123000,+242533,+242576,+241714,,,,
+242526,20410,20231010120000,+243097,+243160,+242438,,,,
+243168,17592,20231010113000,+243200,+243548,+243084,,,,
+243195,24008,20231010110000,+243495,+243895,+243195,,,,
+243476,20043,20231010103000,+244034,+244227,+243350,,,,
+244081,26419,20231010100000,+243874,+244081,+243345,,,,
+243948,40100,20231010093000,+244643,+244824,+243823,,,,
+244655,98753,20231010090000,+243658,+244791,+243235,,,,
+240873,12115,20231006153000,+241037,+241037,+240866,,,,
+241037,16781,20231006150000,+240641,+241146,+240588,,,,
+240585,19617,20231006143000,+241003,+241090,+240482,,,,
+241105,14871,20231006140000,+241094,+241272,+240877,,,,
+240959,14695,20231006133000,+241097,+241183,+240836,,,,
+241098,13829,20231006130000,+241142,+241314,+240938,,,,
+241188,13511,20231006123000,+241160,+241240,+240961,,,,
+241138,14960,20231006120000,+241223,+241429,+240989,,,,
+241353,13909,20231006113000,+240882,+241353,+240798,,,,
+240886,20331,20231006110000,+241202,+241211,+240392,,,,
+241126,20873,20231006103000,+241284,+241593,+241081,,,,
+241262,21985,20231006100000,+241550,+241777,+241183,,,,
+241524,31003,20231006093000,+241626,+241794,+240714,,,,
+241643,60912,20231006090000,+240881,+242118,+240790,,,,
-240360,17819,20231005153000,+240510,+240510,+240352,,,,
-240510,26932,20231005150000,+240466,+240618,-240250,,,,
-240465,37314,20231005143000,+241386,+241504,+240465,,,,
+241465,33580,20231005140000,+241826,+241876,+241329,,,,
+241809,21301,20231005133000,+242382,+242467,+241809,,,,
+242451,16198,20231005130000,+242532,+242553,+242269,,,,
+242411,12184,20231005123000,+242497,+242661,+242362,,,,
+242401,14386,20231005120000,+242358,+242580,+242219,,,,
+242271,18115,20231005113000,+242211,+242395,+242081,,,,
+242181,21489,20231005110000,+242425,+242458,+241843,,,,
+242412,25611,20231005103000,+241803,+242462,+241663,,,,
+241815,37243,20231005100000,+241194,+242154,+241183,,,,
+241189,71412,20231005093000,+240592,+241389,-240510,,,,
+240615,98138,20231005090000,+242335,+242581,+240595,,,,
-240569,21284,20231004153000,+240463,+240595,+240463,,,,
-240463,20346,20231004150000,+240513,+240593,+240284,,,,
-240523,26279,20231004143000,+240865,+241028,+240389,,,,
-240766,25112,20231004140000,+241321,+241341,+240749,,,,
-241347,19060,20231004133000,+240862,+241363,+240799,,,,
-240879,23014,20231004130000,+240856,+241014,+240724,,,,
-240857,18999,20231004123000,+241447,+241465,+240770,,,,
-241449,28449,20231004120000,+241361,+241762,+241208,,,,
-241197,21300,20231004113000,+241212,+241460,+241006,,,,
-241286,20003,20231004110000,+241241,+241403,+240920,,,,
-241225,24777,20231004103000,+240998,+241257,+240729,,,,
-241016,30971,20231004100000,+241140,+241428,+240755,,,,
-241140,48378,20231004093000,+241831,+241962,+240987,,,,
-241834,96887,20231004090000,+243578,+243578,+241764,,,,
+246507,24183,20230927153000,+246958,+246958,+246507,,,,
+246958,19994,20230927150000,+246398,+246972,+246311,,,,
+246329,28562,20230927143000,-245941,+246440,-245923,,,,
-245967,18691,20230927140000,-245575,+246056,-245557,,,,
